End Date,TimeGPT
2024-12-31,35836882944.0
2025-03-31,29004005376.0
2025-06-30,27451914240.0
2025-09-30,30520711168.0
2025-12-31,40750874624.0
2026-03-31,31334053888.0
2026-06-30,32279076864.0
2026-09-30,34241701888.0
2026-12-31,46657282048.0
2027-03-31,34261696512.0
2027-06-30,33772828672.0
2027-09-30,34509344768.0
